breakfast,Calories Day,caloriesday,Coffee,Comfort Food Reasons,comfortfoodreasons,cook per week,Cuisine,cusinelabel,Diet Current,dietcurrrent,eatingout,employment,Employment,exercise,Exercise,favcomfortfood,Fruit Day,gender,GPA,Healthy Feeling (copy),Life Rewarding (copy),martialstatus,nutritionalcheck,parentscooking,participate,paymealsout,self,Veggies Day,vitamin intake,Weight (copy),Breakfast,Coffee (copy),Comfort Food Reasons Coded,Cook,Diet Current Coded,Eating Out,Fav Food,Gender,GPA (copy),Healthy Feeling,Life Rewarding,Marital Status,Nutritional Check,Parents Cook,Pay Meal Out,Self Perception Weight,Sports,Vitamins,Weight
Cereal,3,Maybe,2,"Stress, bored, anger",Boredom,NotOften,1,American,I eat about three times a day with some snacks. I try to eat healthy but it doesn't always work out that- sometimes eat fast food and mainly eat at Laker/ Egan,SamethingOver,1-2Times,Part time,2,Every day,1,Healthy,4,Male,3.654,5,1,Relationship,MostProducts,1-2times,Yes,$20-$30,JustRight,4,No,150 - 170,1,2,1,3,2,2,1,1,3.654,5,1,2,4,1,4,3,1,2,155
Cereal,4,NotImp,2,"stress, sadness",Boredom,Everyday,3,Mexican/Spanish,"toast and fruit for breakfast, salad for lunch, usually grilled chicken and veggies (or some variation) for dinner",Unhealthy,1-2Times,no,3,2-3 times,2,Both,5,Male,3.3,6,7,Relationship,MostProducts,1-2times,No,$10-$20,,5,Yes,Other,1,2,1,1,3,2,3,1,3.3,6,7,2,4,1,3,6,2,1,
Cereal,3,Maybe,2,Boredom,Stress,Weekends,2,Indian,"College diet, cheap and easy foods most nights. Weekends traditionally, cook better homemade meals  ",SamethingOver,1-2Times,no,3,once week,3,Healthy,4,Male,3.2,7,2,Relationship,,1-2times,No,$5-$10,Veryfit,3,Yes,Other,1,2,2,2,2,2,1,1,3.2,7,2,2,2,1,2,5,2,1,
Cereal,2,VeryImp,2,"Stress, boredom, cravings ",Boredom,Everyday,2,Indian,I try to eat healthy but often struggle because of living on campus. I still try to keep the choices I do make balanced with fruits and vegetables and limit the sweats.,SamethingOver,1-2Times,Part time,2,Every day,1,Both,4,Male,3.5,6,1,single,CertainProducts,1-2times,Yes,$20-$30,Slim,4,No,190 - 210,1,2,1,1,2,2,3,1,3.5,6,1,1,3,1,4,4,1,2,190
Cereal,3,Maybe,2,"stress, boredom",Boredom,Weekends,1,American,"I eat a lot of chicken and broccoli for dinner, and usually tuna sandwiches for lunch.",Unhealthy,1-2Times,no,3,Every day,1,Healthy,4,Female,3.8,4,8,single,MostProducts,2-3times,Yes,$5-$10,Slim,4,Yes,170 - 190,1,2,1,2,3,2,1,2,3.8,4,8,1,4,2,2,4,1,1,180
Cereal,3,Maybe,1,"I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues.",Boredom,NotOften,1,American,"I eat a very healthy diet. Ocassionally, i will eat out and get unhealthy food.",Healthy,1-2Times,Part time,2,2-3 times,2,Healthy,5,Male,3.3,3,3,single,MostProducts,1-2times,No,$30-$40,JustRight,4,No,130 - 150,1,1,1,3,1,2,1,1,3.3,3,3,1,4,1,5,3,2,2,137
Cereal,nan,,1,Boredom,Stress,NotOften,1,American,I eat whatever I want in moderation.,Healthy,Everyday,Part time,2,once week,nan,Both,4,Male,3.3,7,8,Relationship,,2-3times,No,$10-$20,Slim,3,No,170 - 190,1,1,2,3,1,5,3,1,3.3,7,8,2,2,2,3,4,2,2,180
Cereal,3,Maybe,2,"Stress, anger and sadness ",Boredom,NotOften,1,American,"I eat healthy all the time when possible. I treat myself occasionally. I don't really like the greasy meals, if anything I would eat sweets over the greasy meals.  ",Healthy,2-3Times,no,3,Every day,1,Healthy,5,Male,3.3,3,3,Relationship,Everything,Everyday,Yes,$10-$20,JustRight,5,Yes,110 - 130,1,2,1,3,1,3,1,1,3.3,3,3,2,5,3,3,3,1,1,125
Cereal,3,Maybe,2,Boredom,Stress,Everyday,1,American,i eat very healthy. Maybe eat out 1-2 times a week.,Healthy,1-2Times,FullTime,1,Every day,1,Healthy,5,Male,3.5,9,8,single,,1-2times,Yes,$5-$10,Overweight,5,No,110 - 130,1,2,2,1,1,2,1,1,3.5,9,8,1,2,1,2,1,1,2,116
Cereal,4,NotImp,2,"sadness, stress, cold weather",Sadness,NotOften,1,American,"I am very health concious. I eat many fruits, veggies, and protiens. ",Healthy,Never,Part time,2,Every day,1,Healthy,5,Male,3.904,1,1,Relationship,Everything,1-2times,Yes,$10-$20,SlightlyOverweight,5,Yes,110 - 130,1,2,3,3,1,1,1,1,3.904,1,1,2,5,1,3,2,1,1,110
